model,image,image_sha256,draw,noise_seed,rounds,snr_db,height,width,cbr_payload,mse,psnr,ms_ssim,ms_ssim_db,lpips
DeepJSCC-f_author_DIV2K,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,0,100067070,1,10,256,256,0.041666666666666664,0.0025587626732885838,25.919702529907227,0.933758020401001,11.788667678833008,0.23859015107154846
DeepJSCC-f_author_DIV2K,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,1,100067071,1,10,256,256,0.041666666666666664,0.0024599984753876925,26.090652465820312,0.9366995692253113,11.985933303833008,0.2280840426683426
DeepJSCC-f_author_DIV2K,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,2,100067072,1,10,256,256,0.041666666666666664,0.0024745881091803312,26.064970016479492,0.9361469149589539,11.94818115234375,0.2280423641204834
DeepJSCC-f_author_DIV2K,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,3,100067073,1,10,256,256,0.041666666666666664,0.002455113222822547,26.099285125732422,0.9366083145141602,11.979677200317383,0.22754086554050446
DeepJSCC-f_author_DIV2K,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,4,100067074,1,10,256,256,0.041666666666666664,0.0024484905879944563,26.11101531982422,0.9369564056396484,12.003591537475586,0.22034244239330292
DeepJSCC-f_author_DIV2K,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,5,100067075,1,10,256,256,0.041666666666666664,0.0024764761328697205,26.061660766601562,0.9365094900131226,11.972911834716797,0.2270853966474533
DeepJSCC-f_author_DIV2K,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,6,100067076,1,10,256,256,0.041666666666666664,0.0024664432276040316,26.07929039001465,0.9359087347984314,11.932011604309082,0.2247008979320526
DeepJSCC-f_author_DIV2K,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,7,100067077,1,10,256,256,0.041666666666666664,0.002464872784912586,26.082056045532227,0.9362472891807556,11.955013275146484,0.23169101774692535
DeepJSCC-f_author_DIV2K,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,8,100067078,1,10,256,256,0.041666666666666664,0.0024855276569724083,26.045814514160156,0.9359416961669922,11.934246063232422,0.23161178827285767
DeepJSCC-f_author_DIV2K,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,9,100067079,1,10,256,256,0.041666666666666664,0.0024546924978494644,26.10002899169922,0.9352338314056396,11.886518478393555,0.2254239171743393
DeepJSCC-f_author_DIV2K,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,0,100077070,1,10,256,256,0.041666666666666664,0.005894723813980818,22.295364379882812,0.9233111143112183,11.15267562866211,0.3305419087409973
DeepJSCC-f_author_DIV2K,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,1,100077071,1,10,256,256,0.041666666666666664,0.005861059762537479,22.320240020751953,0.9231758117675781,11.145020484924316,0.32890209555625916
DeepJSCC-f_author_DIV2K,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,2,100077072,1,10,256,256,0.041666666666666664,0.0057922229170799255,22.371549606323242,0.9234532117843628,11.160730361938477,0.33135291934013367
DeepJSCC-f_author_DIV2K,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,3,100077073,1,10,256,256,0.041666666666666664,0.005918668117374182,22.277759552001953,0.9220361709594727,11.08106803894043,0.3303544223308563
DeepJSCC-f_author_DIV2K,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,4,100077074,1,10,256,256,0.041666666666666664,0.005869869142770767,22.313716888427734,0.9244458079338074,11.217413902282715,0.3271278142929077
DeepJSCC-f_author_DIV2K,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,5,100077075,1,10,256,256,0.041666666666666664,0.0059706782922148705,22.239763259887695,0.9219843745231628,11.078184127807617,0.3289204239845276
DeepJSCC-f_author_DIV2K,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,6,100077076,1,10,256,256,0.041666666666666664,0.0058464910835027695,22.33104705810547,0.9236297607421875,11.170758247375488,0.32345256209373474
DeepJSCC-f_author_DIV2K,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,7,100077077,1,10,256,256,0.041666666666666664,0.005856871604919434,22.32334327697754,0.9219355583190918,11.075468063354492,0.32786643505096436
DeepJSCC-f_author_DIV2K,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,8,100077078,1,10,256,256,0.041666666666666664,0.005804646760225296,22.362241744995117,0.923827588558197,11.182023048400879,0.3338392674922943
DeepJSCC-f_author_DIV2K,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,9,100077079,1,10,256,256,0.041666666666666664,0.005846233572810888,22.331239700317383,0.9225624799728394,11.110486030578613,0.336861252784729
DeepJSCC-f_author_DIV2K,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,0,100087070,1,10,256,256,0.041666666666666664,0.002046644687652588,26.889575958251953,0.9269078969955444,11.361295700073242,0.24422797560691833
